absorb;впитывать, поглощать
throw away;выбрасывать
landscape;пейзаж
wrath;ярость
tailor;портной, кроить
dismantle;разобрать, демонтировать
turn away;не пустить
noun;существительное
coach;автобус, вагон, телега
fling (flung, flung);швырнуть
mode;режим, способ, вид
clue;ключ, нить, улика
astonish;изумлять
start up;основать, установить
magnify;увеличивать
peddle;торговать вразнос, по мелочи
dawn;рассвет
mid;середина, полу-
dawn on;осенить
fall;осень (амер.)
breakthrough;прорыв, достижение
freight;грузовой
moist;влажный
covet;желать, вожделеть
lump;кусок, глыба, ком
fortune;состояние (деньги)
fit in with;вписаться (в коллектив)
germ;микроб или зародыш
cub;детеныш
engine;двигатель или машина
count;считать
dare;осмелиться
acute;острый
see through;довести до конца
bitch;сука
spectator;зритель, наблюдатель
clip;зажим, зажимать
accompany;сопровождать
tweak;доделать, настроить (разг.)
worsen;ухудшать
warn;предостерегать
scoop;совок, ковш, черпать
robe;халат, мантия, одеяние
premises;помещение (-я)
headlight;передняя фара
in a row;подряд
charge;обвинять
ankle;лодыжка, щиколотка
fidelity;верность
coverage;освещение
maintain;поддерживать, сохранять
get off with;отделаться чем-либо
right away;немедленно
motion;движение
incoming;входящий
delicate;тонкий, нежный, хрупкий
shore;берег
fall for;влюбляться
peek;вгзлянуть, подсмотреть
advice;совет (неисчисл!)
resolve;решиться, решимость
wipe out;уничтожить
wither;увянуть, засохнуть
mute;беззвучный, не говорящий
butt;задница
imagine;вообразить
pitch;ставить (напр. палатку)
knack;умение, сноровка
distort;искажать
imprint;отпечаток, отпечатывать
subtle;тонкий, неуловимый
grudge;обида, злоба
ward;округ, район
intimidate;запугивать
mud;грязь
concrete;бетон, бетонировать
wrestle;бороться
gravel;гравий
shift;смена (на работе)
boundary;граница, черта
blatant;явный, вопиющий
garlic;чеснок
welfare;пособие, мат. помощь
stick together;держаться вместе
meanwhile;тем временем
temple;храм
molest;приставать, досаждать
matter;вещество, материя
permanent;постоянный
look at;рассмотреть, обдумать
rear;задний
implicate;указать на причастность
align;выравнивать, выстраивать
lie;лгать, ложь
bar;пластина, брусок, прут и т. д.
friction;трение
dismiss;отклонить, отбросить
liquid;жидкость, жидкий
savior;спаситель
badge;значок
wipe;вытирать, салфетка
publish;публиковать, издавать
rid;освобождать, избавлять
spot;место
due;должный, положенный
day off;выходной
swarm;рой, роиться, толпиться
perk;привилегия, преимущество
jewel;драгоценности
sit out;высидеть
flood in;наплыть, валить потоком
age;век, эпоха
nevertheless;тем не менее
face up to;принять (обстоятельства)
boil;кипеть, кипятить, варить
velocity;быстрота перемещения
close in on;приближаться
do without;обойтись без
provide;обеспечивать, снабжать
scale;масштаб, шкала
highlight;выделить, подсветить
footprint;след
beaver;бобр
rubble;щебень, обломки
rough up;грубо обращаться, нападать
sneeze;чихать
narrate;повествовать, рассказывать
crest;гребень
groove;канавка, желоб
swirl;кружить, вихрь, водоворот
path;путь
quarter;четверть
tame;ручной, приручать
dry up;пересохнуть, иссякнуть
bear (bore, born);нести, втч перен.
abide;смириться, выносить
at all;совсем
render;делать, придавать свойство
reduce;снижать
ingenious;изобретательный
disgust;отвращение
canopy;навес, тент, полог
drive out;выгнать
dispatch;отправлять, отправка
come by;найти, заполучить
sink;раковина
ounce;унция
plight;тяжёлое положение, участь
middle;середина, средний
genuine;подлинный, настоящий
store;магазин
wheat;пшеница
scrape through;с трудом пройти
poverty;бедность, нищета
screw;винт, ввинчивать
grave;серьёзный
mercury;ртуть
root;корень
oversee;контролировать, надзирать
soil;почва
hitch;заминка, помеха
lurk;таиться
intercept;перехватить, перехватить
give up;бросить (привычку)
allege;утверждать, приписывать
nightmare;кошмар
whiz;ловкач, умелец (в области)
cut off;отрезать, отключить
solution;раствор
compartment;отсек, отделение, купе
supervise;надзирать, контролировать
gas;бензин
vault;свод, небосвод
valid;действительный
clear off;убраться вон
settle on;определиться с
remote;отдалённый, захолустный
visible;видимый
pervasive;расширяющийся, всепроникающий
manure;навоз
board;доска
barb;шип, зазубрина
amuse;развлечь, порадовать
holy;святой, священный
ambush;засада
gloom;сумрак, уныние
bin;ящик, ведро, ларь
tolerate;терпеть
creed;вероисповедание, убеждение
dubious;сомнительный
compassion;сочуствие, сострадание
broth;бульон, отвар
curtain;занавеска, занавес
outset;начало
refuge;убежище, пристанище
frantic;неистовый, бешеный
puzzle;озадачить
tower;башня, возвышаться
deteriorate;ухудшать
go into;вдаваться
sew;шить
crap;дерьмо
rein;сдерживать, держать в узде
bale;тюк
step;шаг, ступать, ступенька
gear;механизм, привод, передача
exempt;освободить (от), освобождение
mileage;пробег
brake;тормоз
toll;плата, пошлина, тариф
arrow;стрела, стрелка
at odds with;в противоречии, в конфликте
echo;эхо, отголосок, отражаться
stash;тайник, заначка,  прятать
grain;зерно, крупица
lay down;установить (правило, норму)
ambulance;скорая помощь
manage;справляться, управлять
buck;самец, обычно рогатых
willow;ива
nod;кивать, склонять
metropolitan;столичный
kick;пинать
desktop;настольный
cabin;хижина
bluff;блеф
credible;заслуживающий доверия
avert;предотвращать, отводить
faraway;далёкий
surface;поверхность
bundle;связка, пучок, пачка
pathetic;жалкий
fall asleep;уснуть
construction (site);стройка
invert;переворачивать, опрокидывать
aloud;вслух
prime;важный, главный, первый
congestion;загруженность, запор
chalk;мел
screw up;завалить, просрать
opportunity;возможность
saucepan;кастрюля или сковорода
temper;характер
squeeze;сжимать
owe;задолжать
oversight;надзор
dignity;достоинство
lettuce;салат (латук)
edit;редактировать, монтировать
mist;туман
even;ровный
curriculum vitae;резюме, биография
bun;булочка
shine (shone, shined);сиять, блестеть, светить
prop;подпирать, подпорка
sweetheart;возлюбленный (ая), милый
missile;ракета
carbohydrate;углевод
gulf;залив
jacket;куртка, пиджак
strike (struck, struck);бить, удар
spy (on);шпион, шпионить
cardboard;картон
instant;мгновенние, мгновенный
waste;отходы, обрезки, потери и т.п.
aquatic;водный
go for;выбирать, предпочитать
meal;еда
outdated;устаревший
border;граница, край
tentative;пробный, экспериментальный
secular;светский
vent;выход, отдушина
preach;проповедовать
obsess;овладеть (разумом)
locker;ящик, шкаф (закрывающийся)
require;требовать
decent;приличный, достойный
rely;полагаться
swift;быстрый, скорый
monastery;монастырь
access;доступ
strawberry;клубника
consistent;последовательный
dispose of;располагать, распоряжаться
affection;привязанность, влечение
shake up;встряхнуть, взбудоражить
reproduce;воспроизводить
lapse;промежуток времени
ill;больной
vase;ваза
beam;луч
claim;утверждать, претендовать
guide;вести, направлять
custody;охрана, стража или опека
barren;бесплодный
prove;доказывать
hop;прыгать, скакать
chorus;припев
give up;отказаться, сдаться
mansion;особняк, здание
stroll;прогулка, прогуливаться
drawer;выдвижной ящик
effort;усилие, старание
radiate;излучать
measure;мера, мероприятие
plain;ясный, очевидный
hang (hung, hung);висеть, вешать
stall;палатка, ларёк
climb;взбираться
dent;вмятина
tuna;тунец
throng;толпа, толчея, толпиться
wedge;клин, клиновидный
pass;пройти
compare;сравнить
modify;видоизменять
lower;нижний
input;вход, ввод
farewell;прощальный, прощание
nail;гвоздь, прибивать
fault;недостаток, неисправность
stomp;топать
obese;страдающий ожирением
reflect;отражать(ся)
put on;провести (мероприятие)
head for;направляться
whack;удар, сильно бить
heir;наследник
fairly;довольно, вполне
arrange;организовать, уладить и т.д.
sediment;осадок
floor;этаж
assure;уверять
get ahead;преуспевать, продвигаться
fool;дурак, дурачить
ancestor;предок
pastry;выпечка, тесто
dictionary;словарь
touch;касаться, прикосновение
backbone;хребет
immediate;немедленный, непосредственный
raise;поднять, повысить
envy;зависть
outlook;перспектива, вид,  кругозор
rape;насиловать, изнасилование
navigate;ориентироваться, ходить по курсу
stump;пень
upright;вертикальный, стоячий
tooth (pl: teeth);зуб
revere;почитать
needle;игла
talk smb out;отговорить
dormitory;общежитие
beg;просить
tune;настраивать
master;хозяин
on account of;в связи
wade;брод, переходить вброд
stomach;желудок, живот
duty;обязанность, служба
lease;сдавать в аренду
runway;взлётная полоса
precarious;ненадёжный, шаткий
settle for;согласиться на
look around;посмотреть, оглядеть
liven up;оживить, взбодрить
means;средство
give out;раздать, выдать
large;большой, широкий
pebble;морской камень
dissipate;рассеивать
get rid of;избавиться от
wear off;сойти на нет, выветриться
prick;колоть
check out;освободить номер
severe;серьёзный, суровый, жёсткий
converse;разговаривать
quote;цитировать
judge;судья, судить (втч. перен)
goof;балбес, придурок (амер.)
elect;избирать
fury;ярость, бешенство
modest;скромный, умеренный
hydrogen;водород
set smb up with;познакомить, свести
show around;показать места
premise;предпосылка
owe;быть обязанным чем-л.
curb;узда, обуздать, сдержать
mop;швабра, мыть пол
branch;ветвь
zipper;молния (застёжка)
lift;поднимать
humiliate;унижать
awe;трепет, благоговение
howl;выть
give away;выдать (раскрыть)
spectacle;зрелище
compulsory;принудительный, обязательный
contract;сокращаться
data;данные
net;чистый, конечный, без вычетов
chuckle;посмеиваться
remainder;оставшаяся часть
wallet;бумажник
vary;меняться, разниться
tire (tyre);шина
retain;сохранять, удерживать
obedience;покорность
endorse;одобрять, поддерживать
however;однако
block up;забиться (о канале)
bless;благословлять
imperative;обязательный, необходимый
waste;тратить (впустую)
mistress;госпожа, хозяйка
shield;щит, прикрывать
mock;издеваться, насмехаться
wince;поморщиться, поёжиться
dope;наркотик, дурман
tick;галочка, поставить галочку
junk;барахло, хлам
make fun of;смеяться, издеваться
tint;оттенок
knock out;вырубить (ударом)
creek;ручей
foil;фольга
firefighter;пожарник
loom;маячить, виднеться
look up to;уважать, восхищаться
towel;полотенце
dip;окунать, погружать
speak out;высказать
stop over;заехать, остановиться
breach;брешь, прорывать, пробивать
earth;Земля
stare;пялиться, пристальный взгляд
gulf;разрыв, пропасть
hog;большой свин, боров
drawback;недостаток
hump;горб
ample;обильный, широкий
glance;взгляд
alternate;чередовать, чередующийся
squash;раздавливать, расплющивать
empty;пустой, опустошать
concern;забота, тревожить
cater;обслуживать, угождать
outcome;результат, исход
handful;горсть
slippery;скользкий
fur;мех
point;точка
ride;ездить
welfare;благополучие
career;карьера
tick;клещ
sweep (swept, swept);подметать
cushion;подушка (маленькая)
royal;королевский
mosque;мечеть
century;век
congratulate;поздравлять
free up;высвободить
resilient;стойкий, упругий
frog;лягушка
clam;моллюск
tickle;щекотать
affluent;обеспеченный, состоятельный
perform;выполнить, исполнить
firework;фейерверк, петарда
breed (bred, bred);разводить, выращивать
shadow;тень
merchandise;товар
predominant;преобладающий
sparse;редкий, разреженный
stark;чёткий, жёсткий, острый (об. перен.)
turn up;сделать погромче
nuisance;неприятность, неудобство
change;сдача, мелочь
sidewalk;тротуар
pick;подбирать, собирать
thumb;большой палец
grim;мрачный, зловещий
restrain;ограничивать, удерживать
vine;виноград (растение)
beforehand;заранее
fill up;наполнить целиком
substitute;заменять, замена
hull;корпус, оболочка
hook up;подключить, смонтировать
go on;происходить
desert;бросать, оставлять
bliss;блаженство
civic;гражданский
deter;удерживать (от действия)
lounge;гостиная, холл, комната отдыха
fraud;обман, мошенничество
fair;светлый
suppose;полагать
make out;целоваться
fibre;волокно
alive;живой
mutter;бормотать, бурчать
decade;десятилетие или десяток
patio;внутренний дворик
catch (caught, caught);ловить
kid;ребёнок
keen;острый (часто перен.)
row;ряд
commercial;реклама (на ТВ)
pickle;мариновать, солить
wary;осторожный, настороженный
regret;сожалеть, сожаление
accommodate;размещать, вмещать
wretched;жалкий, несчастный
drag;тащить, волочить
may;пусть
calf (pl:calves);теленок
enlighten;просветить
soap;мыло
take off;взлететь
fine;штраф
dye;краска, краситель
inquire;узнавать, интересоваться
entire;весь, целый
lick;лизать
shabby;облезлый, убогий
volume;том, книга
broad;широкий
hideous;отвратительный, ужасный
hassle;трудность, неудобство
shake (shook, shaken);пожать (руки)
gift;подарок
martial;боевой, военный
fare;плата за проезд
tent;палатка, шатёр
drop;падать, ронять
get out of;избежать, отмазаться
letter;письмо
terrain;местность
evolve;развиваться, эволюционировать
ladder;лестница
go bad;испортиться
vessel;судно
surprise;удивлять, удивление
odd;необычный, неправильный
trait;черта, характеристика
pass up;не воспользоваться шансом
slap;шлёпать, пощечина
prohibit;запрещать
justify;оправдывать, обосновывать
arm;рука
junior;младший
twitch;дёргаться
litter;мусор (на улице)
pass off as;сойти, прокатить за
lodge;домик, поселиться, остановиться
confine;ограничить (ся)
hill;холм
console;утешать
avid;заядлый, рьяный, алчный
prejudice;предубеждение, предрассудок
degree;градус
try out;испытать
disclose;раскрывать, обнаруживать
influence;влиять, влияние
vigil;дежурство, бдение
advocate;защищать, отстаивать
flex;сгибать
silly;глупый
lay (laid, laid);класть, укладывать
enlist;привлечь (к делу)
helpless;беспомощный
cabbage;капуста
correlate;соотносить
face;столкнуться (перен)
principal;главный, основной
tag;этикетка, ярлык
crown;корона, короновать
hail;приветствовать
handicap;помеха, недостаток
cinnamon;корица
neighbour;сосед
incredible;невероятный
outgoing;уходящий
take in;понять, вникнуть
rage;ярость
see to;заняться, позаботиться
greed;жадность
aside;в стороне, в сторону
rate;показатель, уровень
prevail;преобладать, возобладать
marble;мрамор
mind;возражать
grate;решетка
shake (shook, shaken);трясти
saliva;слюна
ultimate;окончательный, конечный
worthwhile;стоящий
rupture;разрыв
leap;прыгать, прыжок
circumstance;обстоятельство
incentive;стимул, мотив
plate;плита, пластина
movie;кино
disable;отключить, нейтрализовать
strew (strewn, strewn);разбрасывать
harass;тревожить, изводить
coincide;совпасть
salvation;спасение
butter;масло сливочное
shirt;рубашка
muster;собрать, согнать, мобилизовать
carry out;выполнить
fragrant;душистый, ароматный
crop;урожай
underscore;нижнее подчеркивание
lean against;опереться, прислонить
meantime;тем временем
stem;стебель
chop;рубить
grocery;продуктовый
exchange;обмен
plea;просьба, требование, иск
crate;ящик
bloom;расцвет, расцветать
assume;принимать на себя
wiggle;шевелить
illuminate;освещать
wear out;измотать, истрепать
ease;лёгкость, облегчать
mustache (moustache);усы
scarce;редкий, скудный
blend;смешивать
soften;смягчать
accomplish;выполнить, завершить
die down;утихнуть
leash;привязь, поводок
sit back;отсидеться
carpenter;плотник
customer;клиент
simmer;медленно кипятить
treachery;предательство, вероломство
skate;конёк, кататься на коньках
handle;рукоятка
break down;ломаться
complete;завершить, выполнить
dome;купол, свод
cheerful;весёлый, неунывающий
shark;акула
common;общий
define;определять
scant;скудный
further;дальнейший, далее
minor;несовершеннолетний
eradicate;уничтожить, искоренить
engender;зарождать, порождать
make out;разобрать, понять
kneel;стать на колени (колено)
intended;предназначенный
sure;уверенный
kettle;чайник
speculate;предполагать, строить догадки
drizzle;моросить, морось
bow;бант, бабочка
stubborn;упрямый
kite;коршун или воздушный змей
relief;облегчение
glide;скользить, планировать
tube;метро (в Лондоне)
put smth down to;объяснить, списать на
derive;выводить, извлекать
jail;тюрьма
scold;ругать
batter;паста, тесто, взбивать
beard;борода
wobble;качаться, шататься
frenzy;неистовство, безумие
foster;приёмный (ребёнок)
lobster;омар
constant;постоянный
call for;требовать, взывать
disaster;бедствие
cloth;ткань, тряпка
quiet;тихий, спокойный, тишина
tuck;подоткнуть, заправить и т. д.
sketch;набросок, эскиз
duplicate;дублировать, дубликат
trace;след, отслеживать
fin;плавник
stink (stank, stunk);вонять
rub;тереть
ballot;госолование, бюллетень
midst;середина, среда
county;графство, округ
fine;тонкий
summon;вызывать
run;управлять
trick;трюк, фокус, уловка
pea;горошина
skinny;тощий
comply;соблюдать, соответствовать
pipe;трубка
see off;провожать (в путь)
put off;отвратить, отвлечь и т. д.
appreciate;ценить
outdoor (outdoors);на улице
immerse;погружаться (в т. ч. перен)
tense;напряжённый, напрягать
pity;жалость
knock;стучать
thief (pl: thieves);вор
repay;отплатить
doll;кукла
debate;обсуждать, спорить
chore;скучная неприятная работа
result in;привести к
determined;решителен
boot;сапог, ботинок
clutch;сцеплять, сцепление
trash;мусор
book;купить, забронировать
apiece;каждый, за штуку
background;фон
swing (swung, swung);качать, махать
rectangle;прямоугольник
gasp;задыхаться, ловить воздух
fairy;фея
persist;упорствовать
mushroom;гриб
bog;болото, трясина
sin;грех, грешить
zoo;зоопарк
graduate;выпускник, выпускаться
perception;восприятие
threshold;порог
east;восток
gun;огнестрельное оружие
wreath;венок
circus;цирк
wrap;заворачивать
none;никакой, ни один
importance;важность
on purpose;нарочно
nausea;тошнота
draft;тяга, сквозняк
still;спокойный, неподвижный
success;успех
rattle;греметь, погремушка
assign;назначать, присваивать
vigor;сила, энергия, здоровье
introduce;представить, познакомить
bigot;фанатик
out loud;вслух
diminish;уменьшаться
rate;курс, тариф, ставка
insurgent;повстанец, мятежник
settle;селиться
murmur;шум, ропот, журчание
rock;камень, скала
restrict;ограничивать
flick;фильм (разг.)
downtown;центр города
get on;быть, делать
desk;письменный стол
enable;давать возможность
bunny;кролик (разг, детск.)
pants;штаны
utter;издать, произнести
set out;разъяснять
daunt;пугать, обескураживать
adopt;принимать, перенимать
tap;стучать
fluffy;пушистый
stiff;жёсткий, негнущийся
jealous;ревнивый
go ahead;взять (и сделать)
chap;парень
implement;осуществлять
mesh;сетка
timber;древесина, лесоматериалы
own;владеть
relay;передавать, ретранслировать
come by;зайти
trap;ловушка, ловить
whether;ли
clause;пункт, статья документа
petal;лепесток
riot;бунт
watercolor;акварель
bristle;щетина
reside;проживать (где-то)
deplete;истощать
facility;сооружение, объект
fortify;укреплять, поддерживать
hint;намёк, намекать
false;ложный, неверный
countryside;сельская местность
claim;требовать, претендовать
tired;усталый
grieve;горевать
heaven;небеса
conjunction;соединение, связь
buzz;жужжать
occasion;случай, событие
spine;позвоночник
assess;оценить
damn;проклятый, проклинать
take place;происходить, бывать
nun;монахиня
coincidence;совпадение
habitat;среда, место обитания
burglar;вор взломщик
turtle;черепаха
leave (left, left);уйти, покинуть
enterprise;предприятие, предпринимательство
comprehend;понять, вникнуть
terms;условия, соглашение
glory;слава, сияние
turn;очередь, смена
stalk;красться, преследовать
luggage;багаж
bear (bore, born);рожать
apply;обращаться (с заявлением)
repel;отталкивать, отражать
folder;папка
stall;задержаться, застопориться
depend;зависеть
headline;заголовок
knowledge;знания
shell;скорлупа, раковина, гильза
nutrition;питание
dummy;манекен, чучело
clench;стиснуть, сжать
rise (rose, risen);подниматься, повышаться
circle;круг, окружность
substance;вещество, материя
housewife;домохозяйка
exit;выход, выходить
whim;каприз, прихоть
brass;латунь
pervert;извращать, извращенец
precise;точный
assume;предпогалать
simultaneous;одновременный
adhere;придерживаться
make into;переделать в
plaque;бляшка, металлический знак
poison;яд, травить
grow up;вырастать
shut up;заткнуться
heat;тепло, нагревать
flee (fled, fled);спасаться бегством
overhead;над головой
reign;царствовать
shade;оттенок (яркости)
conviction;убеждение, убеждённость
poise;равновесие, самообладание
insert;вставить
besides;кроме
employ;использовать
dispute;спор, спорить
get used to;привыкнуть
kidnap;похищать
coup;переворот
steer;управлять, направлять
bind (bound, bound);связывать
mat;коврик, циновка
mediate;посредничать
mess with;возиться, связываться и т.д.
bride;невеста
set smb up with;устроить, организовать
tack;курс, линия поведения
rut;борозда, колея, рутина
disorder;беспорядок
grove;лесок
cane;трость
hunk;ломоть, лакомый кусок
thermal;тепловой
stud;шпилька
abduct;похищать
proceed;следовать, продолжать
reward;награда, награждать
chess;шахматы
implicit;подразумеваемый, неявный
introduce;ввести (в употребление)
age;возраст
value;ценность, оценивать
rally;оживать, приходить в себя
adorn;украшать
fund;фонд, финансировать
department;отдел
shrub;куст
bias;склонность, предвзятость
strand;прядь, нить (об. скрученная)
ruthless;беспощадный
contribute;способствовать, вносить вклад
precaution;предосторожность
lobby;вестибюль, фойе, прихожая
camp;лагерь
brilliant;блестящий
anguish;мука, страдание
praise;хвалить, похвала
flakes;хлопья
waist;талия
piss;писать, моча
clip;отсекать, обрезать
ray;луч
alarm;тревога, сигнализация
eliminate;устранять, ликвидировать
fee;плата
greenhouse;теплица, оранжерея
air;вид, впечатление
dish;тарелка или миска
shade;тень
holler;крикнуть, окликнуть
stretch;тянуть, вытягивать
complain;жаловаться
rule;править
subtract;вычитать
emerge;появляться
agriculture;сельское хозяйство
blind;слепой
giant;гигантский
look up;улучшаться, налаживаться
succumb;поддаться, не устоять
hostile;враждебный, неприязненный
veil;вуаль, закрывать
advance;продвигаться, продвижение
space;космос
extinct;вымерший
adore;обожать
mild;мягкий
envision;воображать
inventory;опись, учёт
retreat;отступать
scramble;карабкаться, продираться
fabulous;невероятный, легендарный
table;таблица
rescue;спасать, спасение
dump;сваливать, сбрасывать свалка
debris;мусор, обломки, завалы
overturn;опрокинуть (ся)
come up to;подойти к кому-л.
let smb down;подвести
birth;рождение
timely;своевременный
leather;кожаный, кожа
recall;вспоминать
become of;случиться с к-л впоследствии
hinge;петля, шарнир
annoy;раздражать, надоедать
straightforward;простой, прямой, откровенный
patch;заплатка, накладка, латать
defeat;поражение, наносить поражение
monetary;валютный, денежный
calm;спокойный, успокоить
pluck;сорвать, выдернуть
joy;радость
thread;нить
landmark;ориентир
flight;полёт, рейс
knit;вязать
inflict;причинять, наносить
manual;руководство, учебник
cost (cost, cost);стоить, стоимость
notice;заметить
worth;стоимость, стоящий
subordinate;подчиненный, подчинять
gender;пол
bow out;откланяться, уйти
inhibit;препятствовать, затруднять
conquer;завоевать
pipe;труба
nanny;няня
bother;беспокоить
toil;тяжело трудиться
clarify;прояснять
branch;филиал, ответвление
nut;орех
simple;простой, обычный
match;спичка
come up;произойти или появиться
ravage;разорить, сильно повредить
extent;степень, мера
lodge;подавать (документ)
cry out;закричать (от страха, боли)
fashion;мода
personnel;персонал, личный состав
extra;дополнительный
stir up;вызвать, возбудить
sensible;разумный, имеющий смысл
ill;дурной, нехороший
communicate;общаться
clockwise;по часовой стрелке
gates;ворота
surpass;превзойти
parcel;посылка
warmth;тепло
lunar;лунный
turn out;оказаться
retrospect;взгляд в прошлое
never;так и не
interpreter;переводчик
pier;пристань, пирс
fetch;сходить принести
hinder;мешать, затруднять
constitute;составлять, образовывать
chat;болтать
clumsy;неловкий, неуклюжий
disabled;инвалид (прил.)
correspond;соответствовать
tall;высокий (чел)
deflect;отклонять, преломлять
lay off;уволить, сократить
range;диапазон, пределы
confident;уверенный
abuse;оскорблять, бранить, брань
limp;хромать
for real;правда, серьёзно
overflow;переполняться, разлиться
smudge;смазать
propel;двигать, толкать
apron;фартук, передник
archive;архив
pave;вымостить
pant;пыхтеть, задыхаться
health;здоровье
concur;соглашаться
Jew;еврей
expire;истекать
warehouse;склад
knee;колено
get stuck;застрять
moderate;умеренный, средний
citizen;гражданин
embark on;начать (что-то серьёзное)
live up to;соответствовать, дотягивать
distinct;чёткий, различимый
inexplicable;необъяснимый
grasp;схватывать
adverse;неблагоприятный
honest;честный
wildlife;дикая природа
cellular;сотовый
blaze;полыхать, пламя
trail;след, тропа
do away with;покончить, избавиться
pick up;подобрать
arc;дуга
diligent;усердный, старательный
poor;бедный
ratio;соотношение, пропорции
supply;поставлять, поставка
burn down;сгореть, сжечь (полностью)
remorse;раскаяние
alone;в одиночестве
commission;поручение, полномочие
gorgeous;шикарный
amplify;усиливать
verb;глагол
furnish;предоставлять
pleasure;удовольствие, наслаждение
cone;конус
chuck;бросать (небрежно)
mitigate;смягчить, сгладить
fray;драка, бой, соревнование
slight;лёгкий, слабый, незначительный
help out;выручить
dull;скучный, унылый
jaw;челюсть
background;происхождение, предыстория и т.д.
gym;спортзал
palm;ладонь
depot;хранилище, база, склад
end up;заканчивать чем-либо
revive;возрождать, оживлять
inner;внутренний
airborne;находящийся в воздухе
gossip;слухи
order;заказ, заказывать
proper;правильный, надлежащий
underlie;лежать в основе
dub;дублировать
ink;чернила
assert;утверждать, отстаивать
elicit;добиться, извлечь
maid;служанка, горничная
keep away;держать (ся) подальше
saddle;седло
preclude;исключить, помешать
prepare;приготовить
impede;затруднять
widespread;распространенный
ask around;поспрашивать
decree;постановление, декрет, указ
dispel;развеяться, исчезнуть
dire;страшный, тяжёлый
spell out;разъяснить
clay;глина
oath;клятва, присяга
delay;задерживать(ся)
resort;курорт
diverge;расходиться
weep;рыдать
spill;проливать, рассыпать
physician;врач
jumper;джемпер
axis;ось
shiver;дрожь, дрожать
recipe;рецепт
mean (meant, meant);означать
ignorant;невежественный
intend;намереваться
look smb up;найти (в списке и т. п.)
afflict;поражать, вредить
shriek;пронзительный крик, вскрикнуть
strand;застрять, сесть на мель
afraid;напуганный
allow;разрешать
discount;скидка
collaborate;сотрудничать
artificial;искусственный
hectic;беспокойный, напряжённый
withstand;выдерживать
resolute;решительный, твёрдый
stake;стойка, кол, столб
recess;перерыв
deck;палуба, крышка, настил
avalanche;лавина
cool down;остыть
fume;дым, испарение
blackmail;шантажировать
profound;глубокий (перен.)
offence;обида
whistle;свист, свистеть, свисток
vain;тщеславный, самолюбивый
brittle;ломкий
massacre;резня
fir;ель
dispense;распределять, раздавать
lumber;пиломатериалы
bow;лук
scholar;учёный
expect;ожидать (события)
fall apart;разваливаться
pouch;сумочка, кошелёк
dam;плотина
menace;угроза, угрожать
purchase;покупка, покупать
arrive;прибывать
hand over;передать
stun;ошеломить, оглушить
deserve;заслуживать
cleave;раскалывать
give off;издавать, испускать
parsley;петрушка
footage;запись, кадры видео
weigh;весить
fit;приступ, припадок
admit;признавать, допускать
domain;область, сфера, владение
stumble;спотыкаться, запинаться
napkin;салфетка
iron;железо, железный
seat;место, сиденье
liberate;освобождать
shout;кричать
replicate;воспроизвести
jumble;перемешивать
plank;доска, планка
shave;брить
persist;сохраниться
matter;дело, вопрос
put smb down;подавлять, угнетать
homeland;родина
pursuit;преследование
constellation;созвездие
hardly;едва
conquest;завоевание
clerical;канцелярский, административный
Christmas;рождество
razor;бритва
dim;тусклый
hatred;ненависть
handcuffs;наручники
candle;свеча
presume;предполагать
peer;ровня, ровесник
resist;сопротивляться
string;струна, тетива, бечева
cut across;пересечь, срезать путь
suggest;предлагать
snatch;схватить, утащить
depth;глубина
set down;написать, установить
directory;справочник
arms;оружие
interrupt;прерывать, перебивать
shoulder;плечо
fluent;беглый
either;либо
rod;стержень, прут
leisure;досуг, отдых
elevate;поднимать, повышать
injure;ранить, наносить ущерб
flinch;дёрнуться, дрогнуть
delight;восторг
fleeting;мимолётный, скоротечный
bug;жук
disciple;ученик, последователь
bore;надоедать
scholarship (money);стипендия
preoccupy;занимать внимание
route;маршрут
abuse;злоупотреблять
repress;подавлять
sophisticated;сложный, изощрённый
blink;мерцать, мигать
millennium;тысячелетие
entitle;давать право (по заслугам)
dread;страх, бояться
mammal;млекопитающее
voyage;путешествие, рейс
suck;сосать
exhaust;выхлопные газы
crisp;хрустящий
bill;счёт (к оплате)
ferocious;свирепый
bruise;синяк, ушиб
cucumber;огурец
mortal;смертельный, смертный
render;воздавать, оказывать
inland;внутренний, вглубь страны
ski;ездить на лыжах
closet;стенной шкаф
abnormal;ненормальный, аномальный
plural;множественное число
aim;цель
groom;жених
take a walk;прогуляться
frown;хмуриться
step down;уйти в отставку
oil;масло
peg;колышек, фиксатор
get in;прибывать (о транспорте)
confess;признаваться
at the moment;сейчас
janitor;дворник, уборщик
tangle;запутывать
uncle;дядя
decay;распад, упадок, разлагаться
go together;сочетаться
lineup;расстановка, расположение
strive (strove, striven);стремиться, добиваться
convict;осуждённый, осуждать
celebrate;праздновать
surplus;избыток, излишек (экон.)
hoist;поднимать
fight back;отбиваться
encourage;поддерживать, поощрять
tie;галстук, завязка и т.п.
fork;развилка, раздваиваться
hemisphere;полушарие
carriage;каретка
reckon;считать, рассчитывать
comrade;товарищ
crowd;толпа
ruffle;рябить, взъерошить
rubber;резина, резиновый
bark;кора
cease;прекращать
well;колодец
scratch;царапать, царапина
bring up;поднять тему
band;ансамбль
curse;проклятие
dairy;молочные продукты
correct;правильный, исправлять
bribe;взятка
exterior;внешний, внешняя сторона
instance;пример, случай
wag;махать, вилять
create;создавать
smash;громить, разбивать
